Title,Rating,Comment
Poor quality,1,"Hi everyone,

One of my friend recommended me to buy this earphone as its name is quite popular so on that basis I purchased it from amazon last year at a price of 800 so its sound is not like very Amazing or something really appreciable it's just okay but when it comes with quality I even go for 60 rupees headphone which one find outside any metro station or any chinese heaphones as after 2 month my headphone one ear is apart it was just struck with my bag and gone worst quality of material they use."
Go with them blindly,3,"I purchased them a year ago and still they are working as they were in starting. Anyone can trust this earphone blindly , there is no broken wire yet , both the buds are working fluent. Only cons I experienced is , this earphones doesn't have built-in mic for incoming calls ! Lookwise they are the one with something creatively design . Bass lovers will surely like it ! It has high sound without any notes loss ! Compatator to House of marley smile jamaican model"
Awesome audio out + immense depth and bass,5,"Hi friends. Am sharing my experience using this earphone.Sennheiser is one of the most popular brand in the field of earphones, speakers and headsets.I had bought this product 6 month before from flipkart online shoppi.The product is so awesome that it is still working smoothly.The audio output is so good.The depth and bass is immense.The design is in such a way that it is comfortable for ears.The head of earphone is so light and different sizes of bud are available which help to suit different sized ears.The product cost about Rs.900/- which is so affordable for such an awesome earphone.The clarity of audio is so so clear.

No doubt this product is worth the money spent and no doubt you all must try this product."
"Its fell like i am listing dj,",5,"Heyy I am sumit , I am currnetly using sennhisher cx 180 earphone , this products gives me lots of rest throught good quality bass with earphone , the design of this product is good and looking premium when you have used , and performence is quit excellent there is no bug in this earphone , I have purchsed 800 rupess in flipkart , I am quit stisfied with this product , if you looking for a premium earphone then this product value for money , sennheiser earphone is best earphone in their field , its give total money feedback of your product ,"
Something good to have!,4,"I'm very satisifed with the product.I had a very hard time asking my friends about what should I actually buy. The Sony and JBL earphones with extra bass were quite expensive, so I chose sennheiser because it was best fitting my budget and requirements. This is the best-selling earphone under Rs. 1000.Sound quality - We while buying an earphone look for a good qulity, the sound quality is amazing. It's very crisp and bass is ok too.we can hear each and every beat clearly. I am pretty amazed with the experiance.Comfort - This fits my ears and has soft and comfortable buds. Easy to handle and is quite satisfying. The earphone looks to be durable and last for a long time. Although it has thin wires, but still its enough to handle an easy wear-off! Price - Under Rs. 1000 it's a deal! Worth every single penny you pay. Overal I am loving my experience with these earplugs!"
Sennheiser CX 180 Street 2,4,"The CX 180 Street 2 is one of the great in the ear headphones manufactured by Sennheiser..It has a great sound quality with true bass with active noise cancellation system nd a mic for calling purpose..It really gives a dolby atmos surrounding sound quality.. It really satisfying me during the time of listening musics nd songs nd during calling purpose..I bought it from Amazon online store for 749 Indian RS..

Viewers should buy this headphone for experiencing true quality of sound.."
Best earphone,4,This is the best earphone I have ever bought in my whole life. I brought these earphones a year ago from amazon one of my friend suggested these earphones before these I was using jbl earphones which didn't work too well for me. They are the best earphones at tjis price in the market. The bass is good and it also gives youva high volume. Audio quality is very good. But one thing about this earphones that I love the most is durability. I have been using them very roughly from the time I bought them.
Best Earphones at this Price Range,5,"I am using these earphones for around 8 months of heavy and ruff usage but they are one of the most durable things I have ever found.

Firstly talking about comfort, its light and durable and its design provides compatibility for all types of ears. Event if you wear for hours, you won't feel it and no pain in the ears. If you are a regular traveler, this is the one to carry in your pocket. It has a long cable which is very strong and the connector is L-shaped.

Secondly talking about sound quality, the sounds are crisp and sharp and the buds fits neatly in the ear. The volume is also great which provides a great sound clarity and the sound reproduction is nearly close to original. The balance of bass and treble is perfect. If you are looking for some great audio experience then this is the perfect product to spend your money on.

At this price range, this is the best product that you can find out in the market. You will be totally satisfied by its cost and high quality which is delivered by Sennheiser.

I am totally satisfied by the product quality and its price. I will definitely recommend you this product if you want to have a great music experience at this decent price."
Best quality earphones,5,"Hello Readers. Hope you are doing good.

I have recently purchased these earphones at big billion days on amazon.com for ₹549 only.

No doubt Sennheiser is the only brand which gives you the quality product with affordable price. These are the finest quality earphones under 1000 bucks. Sound quality is awesome, Bass is great, Trebel is good, Vacal quality is just amazing.

As I am singer, performer; CX-180 are great earphones while performing. Beacause it gives you Great Sound Quality with Noise Cancellation. I must suggest, Just Go for it.

Thank you So much."
Review of sennheiser cx 180,4,"If you are muisic lover like me this is the best earphone among all brands I have known( skullcandy, philips, boAt, JBL, sony) . Made up of rubberized plastic very soft and light weight(5 grams) design will help you to hold them up easily, The cable is 1.2 meters long, gives clear voice with perfectly balanced highs, mids, and lows. These earphone are available in all online shopping sites, But but they DON’T HAVE an inbuilt microphone, this is the one and only drawback of this earphone, you get earphone with microphone for this cost in other brands but you dont feel the music. I will rate them 8 out of 10."
Great Bass With High Pitch,5,"Recently I Purchased This Earphone by Amazon.com in 729 Rs. I like this earphone because it is available in many colour variant and I love it in gray colour.one best thing in this sennheiser earphone its body material. It is so hard and flexible overall a solid earphone by sennheiser. If I talk about its design and look so it is amazing it is so designy and look wise so great.It is better than sony high cost earphone. It is so value of money earphone and if I talk about performance so Performance Wise This Earphone is amazing its provide a great bass and high pitch in song that makes me cool.I am Fully. Satisfied with this Sennheiser CX 180 earphone and I hope You also like this Earphone.Here I Am Specify Some Feature Of This Earphone.

1) Design & Looks : - Sennheiser Always Provides to customers a Fashionable Designy and Looks wise Amazing Earphone.It is Available in Market in diffrent colour and Variants. It Is Depend On Customer Choice.

2) Body Material : - Some Earphone Is So Entangle And So Tough To Fine It. So Sennheiser Makes A Great Body Material And Without Entangly Wires That Makes Me Happy And So Comfortable.

3) Performance : - Sennheiser CX 180 Earphone Is Made for street and Crowd areas. Because When I Use This Earphone In Market Place And Crowd Areas Then I Never Be Irritate.

It Makes Me Cool and I Feel Happy When I Hear A Song With This Earphone.

4) Value For Maney : - It is Valuable When I Compare This earphone With its Cost of price.because Sony Earphone Is Availabe In Market In High Cost Of Price And Not Gives to customer a better Service. If I Compare It With Sony And Other High Cost Earphone Then It Is So Cheaf And Best Earhphone It Is Available In 700 to 750 Rs. by Colour variants.

5) Satisfaction : - I Think All Of Sennheiser Customer Is Always Satisfied with This Earphone because I Am So Happy To Buy This Earphone And I Am So Satisfied With This. If You Want To Buy This Earphone So Please Buy This Earphone Without Any Doubt and Trust Me And My Review."
FINE QUALITY EARPHONE UNDER RS 700,4,"As you know about Sennheiser, it's a branded company in products like Headphones, earphones . I bought this from Flip-kart at Rs 699 . It's design is so good . It has a company logo on it's controller .I really appreciate it's coloring . Two rubber pads are given over the ear speaker for two reasons like to keep surrounding sound away from you and the second is to comfort your ear . You also get extra four pads with it .The headset plug is golden plated color . The wire is very thin and of a very good rubber . It's controller is made up of a rubbery plastic like material .It has a fine sound quality, with amazing bass quality . You feel like there is nothing around you because it cancels the surrounding sounds . And it's sound doesn't harm you . As I mentioned above the price for it is Rs 699 only . Under this range this is a very high quality earphone .I am fully satisfied with it and I am sure you should also .

Thank you"
Best as always,5,"Sennheiser is the top earphone for all. I used it 5 months. And its sound quality is awesome. Superb clearity, you can listen every beats of sounds.

The price of this earphone is around 550rs to 650rs.

I Bought this earphone from amazon.

I suggest you all to buy this earphone.

But one negative thing you will see in this earphone is no mic is available in this earphone.

If you are music lovers and you are listen music only then you must buy Sennheiser CX 180.

Looking so cool and main thing is you are going to buy branded earphone Sennheiser"
Very disappointing producted,1,"Hi friends, I wanted to share my personal opinion about Sennheiser ear phone.

I bought this ear phone over Shopclues as they were offering it on a big discount sale. I was pretty impressed with the product. the style of the product is good but the performance of the product is very poor. It produces crackling noise when plugged in to my mp3 player. it really spoil my music listening entertainment. the making of the ear phone is so sensitive the wire solder got damaged. I went to the shopclues back and asked them either take back the damaged product and refund the money or get a replacement. He said he will try to get a replacement one. it's been a month and I'm still waiting for the replacement. when I checked back they just asking me to wait. this is ridiculous, if get my money back already I can buy a different product. I'm helpless and lost money. Very disappointing with the product."
Waste waste waste !!!!!!!!,1,"Hlo all today I share you my personal experience , I have been searching for a long time , will be the best earphone in the price range of 1000 rupees . many of my friends suggest me to buy sennheiser cx 180 earphone . so finally I order this earphone sennheiser cx 180 from flipkart , the flipkart courier service is very fast they give me order within 2 days . when I open and see this earphone its looking really good and attractive , but when I connected to a phone it sounded unusable . no bass no beats , this earphone not so expensive easy to afford easy available but sound quality is really disappointed me .!"
BEST EARPHONE UNDER 1000,4,"SENNHEISER CX 180

DESIGN & LOOKS this ear phone looks great and very light wight design is great fit in ear very easily. I love this earphone.

PERFORMANCE the performance of this earphone  es great m using this earphone last 4 mounts and I don't have any issue with this. the sound of this earphone is great specially for music lovers because this earphone bass is out standing"
Sound quality excellent,4,"Hello I am Gopinath.i am using this headphone after 1year. My review is Sennheiser headphone is excellent sound quality. Earphone build quality is very good. Ear buds is very comfortable. This headphone bass is very good and no over bass. I am daily use this headphone and traveling time sound quality is very clearity. Headphone jack quality is good but headphone cable quality not good that is not hard use all times. Headphone sound the high mid and low balances is perfectly. I am watching movies daily in mx players that's sound effects good working. Actually is a best earphone in its price segment. Headphone wait is low and comfortable but Mic is not available because this is only music headphone.

Thanks all"
Little beast,5,"Will write point to point.

Pros.

1.Great sound clarity with Bass

2.Built quality is awesome.
L shape gold plated jack
4.comes with S, M and large size of earbuds

5.Looks cool in the ear

Cons.

1.No MIC

2.Very thin cables

3.No volume controlller

4.Bass is not much effective but still works.

overall its worth more than you spend on it."
Superb sound.....nice earphone hones,5,"I bought sennheiser ear phones after one of my friends suggestion.I never came across this name before .Initially I was using Samsung headphones, I am a great music lover and I used to plug in headphones for hours but later I stopped listen for prolonged duration as the sound pitch was high and it's not advisable to subject your ears to such a high pitch.Then I got to know these sennheiser. Price was much higher as compared to other branded earphones., price was 2100 got for 1700 from amazon.I thought why to buy such a pricy product when the same purpose can be solved with a cheaper headphone.But I thought to buy and check the worth.It's awesome. Superb sound that too no loud music.It's an amazing earphone.

Looks are OK and don't have much to comment on.

Fits well in ear, dont have to do adjustment every now and then.

Good earphones"
Super quality earphones at an affordable prize,3,I was using the earphones since 2year.audio quality is excellent.but it has no mic and quick buttons.it will last for at least 2years.mine starts breaking wire at many points after 2 year.its not tangle free.it jad gold plated end.fit well on you ear.its available for rupees 700 in almost all online platforms
Best bass with good sound and bulid quality headph,4,I have bought this headphone from amazon it cost me 580only in offer including 75 rs cashback amazon pay.this headphone is just awesome if u use this headphone at first time u r gonna love this headphone. The sound quality of this headphone is awesome with great bass .the wiring and all looks like a chinese headphone but when u use it then u will know its a nice and great build quality.the wiring of headphone is great.Demerit of this headphone is it donot have MIC
Bass Heads of Sennheiser are impressive,4,"Sennheiser CX 180 Earphones are just too good. They look like will get impaired very soon but they last real long. As usual Black color always looks good, the black ones are very good and very attractive. When you put on this Earphone you will enter the world of music, why I say this is because they sound so good with Bass Heads and you don't get to hear any noise from outside world. The head phone wires are soft and hard and quality wise they are the best. It should cost you somewhere around 800 bucks, but it's worth for money and very good for tough and rough use. You would certainly be satisfied with this Earphones at such price."
Cheap but Way better than others,4,"When it comes to design it's probably not the best looking but it's not bad either, the way to define it would be it's a little bit above average and it would probably appeal to anyone's eye on first glance.

I was impressed with the sound it produces, it may not give you the whole spectrum of sound like the high end earphones but it will give you the best considering the price.

They are really cheap and are really good, it is a definite buy for you if you are looking for cheap earphones.

it's a product you won't regret buying, but if you have a little bit flexible budget I would say go for the Sennheiser cx 213 instead."
Enjoy the music with good sound quality.,5,"Sennheiser CX 180 is one of the best earphones for music lovers because its price is around ₹900 and the sound quality is just awesome. In this price its very difficult to find a branded earphone.

The earbuds are very comfortable to ears. You wont feel that you have inserted the earbud into the ears just because of it comfortability. The earbuds creates a kind of vacumm in the ears that outside noise does not enter the ears and you experience a very clear and awesome sound quality."
Great for use,3,"Sennheiser CX 180 has awesome sound quality. You will not get distracted by outer noise, this is my personal experience. It has two year warrenty period. If you found that one of your earplug is not working properly , then you can change it.

This is one of the best ear phone in terms of quality and price."
EARPHONES,5,This are the best earphones I have ever used guyss. It has a great bass. its looks are just amazing the fit very perfectly in your ears. Its valueable product but its worth of that price. Its performance us the best with great bass and trrible.i am very happy to use this product and I am very satisfied with this
Yahh they are worthy more than its price.,5,"These are most durable earphone u can buy under 1000 rs , sound quality is awesome .

Bass and trouble is perfect , it can stay in your ear upto 6 hrs without any issue . It has warranty for 2 years so if something went wrong they will replace your one with new one .

Customer care service is very good so no problem i n case of warranty.

I have been using this since 2 years , ihave bough this for 850 but now u can get at 700.

Just want to say must buy."
Best earphone i ever used!!!,5,"Hi guys, I am writing this review on the basis of my 6months use of this earphone. First of all the brand says the quality of the product it is long lasting and durable you cam use it at any conditions. The best thing about this earphone I like very much is the comfort this earphones provides extra ordinary comfort to your ear and does not harm to your ear. The sound quality of the earphone is beyond the all other earphones in this price range because the level of bass and trebel you will got is perfect for listen and beautiful to listen accoustic with this earphones I am totally happy with this earphone full paisa wasool with 2 years warranty.!"
Best earphones,5,"I oredered these 'Senheiser CX180' in ear headsets from flipkart for Rs. 819 and these worth the price! When talking about the build quality, the wire diameter is little bit thin, but when I used it for a couple of months and must say its made of rubber of durable quality feels flimsy wire but it will last a long if used carefully. The ear buds you get are of three different sizes i.e. Small, medium & large size. Which prevent the background noise and so the ambient noise will not interrupt in your listening experience. And choose whichever fits comfortably in your ears. In this earphones, you do not get any mic, may be it will be a deal breaker for some users i.e. This is the con of these earphones. In terms of looks, these feel rich and quiet good when wear in ear. So in terms of you do not have to compromise. When it comes to the sound quality of this headphones they deliver crystal clear sound with adequate bass and vocals are also good. The bass is adequate i.e. Its not so high and not so low so that you can experience a complete combination of clear sound, bass, good vocals and the treble is also very good enough. These earphones have the 9mm drivers which are best in class. It has that powerful bass driven stereo sound that feels so good and rich and makes the music listening experience fabulous! The frequency response is good enough. The ergonomic design makes it look better than other earphones. These are light weight and easy to carry in yout pocket wherever you go!

These earphones come with 2 years warranty so you don't have to worry about. If you are a user which demands altogether a good bass driven audio sound, these earphones are made for you carry these best companions. You can also get these at Rs. 699 at a discount price on amazon.in please compare the price it always changes. Buy it from where its being sold cheap but bware of the duplicate quality check carefully before buying."
Best Music Handsfree without speaker.,5,Sennheiser CX 180 Street II in Ear Earphone is a Earphone desined for only Sound and no Speaker is available in this handsfree. I have purchased this handsfree in 699 Rs. From Amazone and it is best handsfree for this budget range. Look and Color is simple and classy. Sound effects and quality perfirmance is the best. Bass is rocking. Designed left and right ear speaker gives feeling like mini home theater. Sound quality is very clean. It is most preferable handsfree for lowbudget handsfree is you want to go for speakerless handsfree.
Average quality product,2,"I ordered these earphones from amazon a year ago. The sound quality is not so good it trembles at high volumes also bass is not as expected. Other than that the wires are too thin. The ear buds with the phone became very loose sooner. for the price of 1000 rupees, I could have bought something better. I had put a lot of expectation after seeing its specification but it was not satisfactory."
Awesome headphones! Best for beats and bass lovers,4,"I bought this headphones twice because the I lost it once while traveling. The sound clarity is amazing, you can hear each and every beat. I think it is quite affordable. Both the times I purchased it from Amazon India. The only thing missing is the mic. But it is quite light weight and handy. It has 2 years manufacturing warranty. The ones you buy from the streets gets damaged easily within 1-2 months but this one is quite reliable. So put some extra money and go for the original and best."
Sennheiser CX 180,4,"There’s huge competition under the Earphones section and everybody wants earphones with clear sound and good built quality but under the budget of Rs 1000, there are many compromises accomplished by brands to decrease cost. So today we’re reviewing the Sennheiser CX 180 Street II in ear headphones that come at a price of Rs.700 which fluctuate between Rs.700 to Rs.800 under the various Online platform"
No 1 earphone under 1000rs,5,Senhiser cx 180 is good earphonsPro: 1. It has good frequency range 20-20000 hz2. If u download poweramp music player u can feel the boss effect3. Noise cancellation is there4. It has 3.5 mm jack so it was compatible to maximum mobiles5. Design was good6. Download good music player to feel the boss7. It has two years of warrantyCon: 1. Only disadvantage is it doesn't have mick
The best for budget earphones,3,"Earlier I had house of Marley earphones but after I got bored from there sound I thought to order these one

And after ordering it I can't tell you how much I m satisfied . The bass is amazing, the lows and highs are great and vocals are very clear

May be these are the best earphones under 1000 rs but those who don't want bass can also try audio technica clr100"
Cx 180 street brotherhood.,5,"Cx 180 Street II is the best you can get under Rs 1000 and belive me you will not regret. I suggested my best friend to buy this product and he is totally satisfied as like me. The sound clarity, bass, treble is just awsome. I am using Cx 180 for around 1 year and there is no promblems at all. I just sleep with my earphone every night. I haven't found any flaws with this product.

So no doubts why Sennheiser holds the top 5 brands rank. Thank you."
Best mid range priced Headphones,5,"Hello friends,

I wanted to share my feedback on this headphone cause I am very happy after using it for almost 3 and half years now.

I remember looking for a quality sound headphones around the internet when I came across Cx180 model of Sennheiser.

And after lot of research and reading reviews over the internet, I finally ordered it. And I was amazed as soon as I plugged it in on my Phone.

Warranty and Looks-They are now providing only 2 years warranty as a saw from Amazon. But when I bought it, it was 3 years but that`s okay cause it works without a doubt cause it long lasting design. Looks Cool too.

Length-Its Length is Appropriate and long enough.

Sound Quality- Is just so Awesome, in the scale of 10, I will give it 10 out of 10. Bass is Superb. Noise cancellation by all means. And Clarity and top notch.

Comfort- Very comfortable and not like the ones that give painful experience. They provide 2-3 pairs of ear buds for different type of ear bud sizes.

Cons- The only con I could think of was that there was no mic and That`s it!

Suggestion-Try to keep the headphones in a box whenever you keep it in a bag pack otherwise it may tangled with out stuffs in your bag and hence its life would not be that long.

Overall the Headphones are value of money and I can proudly say that if I lose my headphones then I would definitely go and buy them again. It will always be my first choice.

Where you can buy it- Its better to buy it from trusted seller whether you buy it from Amazon or Flipkart or any other site for that matter. One of the trusted seller I recommend is here: https://amzn.to/2ypPtqS

Thanks and Enjoy your Sennheiser CX 180"
My expirence ????????? best one,5,I used this sennheiser cx 180 for 1 year with very good condition then it get broken by mistakely by me. Now I am using same earphone. I purchased 2 Months ago. The quality of sound is very very good and the bass quality was outstanding in this rate it comes in 750 ₹ and if I will compare this earphone by 1500₹ sennheiser will easly going to win. The built quality of sennheiser cx180 was good the wire is very thin but it was durable and its my 3rd earphone using of sennhiser cx180. Belive me guss the sound quality will going to mad. U will love it .Thank you guyzz for reading my suggestion?
No treble and no mic,2,"I wanted to buy earphones within a range of 1000 rupees I was confused between MI capsule earphones and Sennheiser CX 180 I decided to go with Sennheiser because it has a 2 year warranty whereas MI earphones had a warranty period of 6 month.

Design of the ear phone is Plassey but the length of cable is not sufficient. The biggest problem with this year phone is that it has no mic so you can't use it for calling and recording purposes also there are very less service centre for this year phone my earphone stop working after a year it created a lot of problem for me to exchange the earphones.

Performance is not good because of low treble and poor frankly telling I am not satisfy by the product and won't recommend you to invest in this product."
Very good sound and great customer care,5,"I bought this headphone about two years ago and I'm still using it. It has really good bass for its price range. I used it everyday and it serves me great quality of music. It has pretty long cable which is great. The earplugs did a good job at noise cancellation. If you had special music modes in your phone it sounds even better. It really good for gamers like me.

But the best thing is their service quality is awesome. When I first buy it after two months one of the ear plug stopped. I went to the service center they replaced the whole headset with a new one within 4 days. So I stongly suggest anyone to buy this Sennheiser CX 180 Street 2. You don't have to worry about service at all."
